unit_id,model,profile,region,month,install_date,target_deviation_pct,notes
HP-1001,TF-12,DE_COP_ASHP_floor,Bayern,1,2023-11-02,3,"Routine reading, no issues"
HP-1002,TF-08,DE_COP_ASHP_radiator,Nordrhein-Westfalen,2,2024-01-15,5,"Routine reading, no issues"
HP-1003,AS-10,DE_COP_ASHP_water,Baden-Württemberg,3,2023-06-20,1,"Routine reading, no issues"
HP-1004,AS-16,DE_COP_ASHP_floor,Niedersachsen,4,2024-03-08,6,"Routine reading, no issues"
HP-1005,TF-12,DE_COP_ASHP_radiator,Hessen,5,2023-09-12,2,"Routine reading, no issues"
HP-1006,TF-08,DE_COP_ASHP_water,Sachsen,6,2024-05-30,4,"Routine reading, no issues"
HP-1007,AS-10,DE_COP_ASHP_floor,Bayern,7,2023-04-18,0,"Routine reading, no issues"
HP-1008,AS-16,DE_COP_ASHP_radiator,Nordrhein-Westfalen,8,2024-02-25,7,"Routine reading, no issues"
HP-1009,TF-12,DE_COP_ASHP_water,Baden-Württemberg,9,2023-12-01,3,"Routine reading, no issues"
HP-1010,TF-08,DE_COP_ASHP_floor,Niedersachsen,10,2024-06-14,5,"Routine reading, no issues"
HP-1011,AS-10,DE_COP_ASHP_radiator,Hessen,11,2023-08-09,8,"Routine reading, no issues"
HP-1012,AS-16,DE_COP_ASHP_water,Sachsen,12,2023-10-22,13,"Homeowner mentioned slightly longer heat-up time"
HP-1013,TF-12,DE_COP_ASHP_floor,Bayern,1,2024-04-03,15,"Efficiency trending down over last 2 readings"
HP-1014,TF-08,DE_COP_ASHP_radiator,Nordrhein-Westfalen,2,2023-07-27,17,"Efficiency trending down over last 2 readings"
HP-1015,AS-10,DE_COP_ASHP_water,Baden-Württemberg,3,2024-01-30,12,"Homeowner mentioned slightly longer heat-up time"
HP-1016,AS-16,DE_COP_ASHP_floor,Niedersachsen,4,2023-05-16,24,"Significant efficiency drop, no fault code yet"
HP-1017,TF-12,DE_COP_ASHP_radiator,Hessen,5,2024-07-11,28,"Significant efficiency drop, no fault code yet"
HP-1018,TF-08,DE_COP_ASHP_water,Sachsen,6,2023-03-05,32,"Significant efficiency drop, homeowner reported cold spots"
