fault_id,date,model,firmware_version,installer_type,reported_symptom,fault_code,true_category,predicted_category,correct_prediction,false_hardware_fault,fix_or_escalation_action,first_visit_fixed,commissioning_time_minutes
FLT-0001,2025-03-01,TF-12,2.4.2,partner_SHK,Smart meter gateway will not pair with the control unit,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,42
FLT-0002,2025-03-01,AS-16,2.4.2,own_field_installer,"Low refrigerant pressure alarm, error code E4",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,90
FLT-0003,2025-03-02,TF-08,2.4.0,own_field_installer,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,54
FLT-0004,2025-03-03,AS-16,2.4.0,partner_SHK,"Compressor short-cycling, error code E4 on display",E4,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,184
FLT-0005,2025-03-04,TF-08,2.3.1,partner_SHK,Smart meter gateway will not pair with the control unit,CONN-01,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,50
FLT-0006,2025-03-05,AS-10,2.4.2,own_field_installer,"Heating circuit pressure too low after commissioning, E2 on display",E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,35
FLT-0007,2025-03-05,TF-12,2.4.0,partner_SHK,Smart meter gateway will not pair with the control unit,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,38
FLT-0008,2025-03-06,AS-16,2.3.1,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,28
FLT-0009,2025-03-07,AS-10,2.3.1,own_field_installer,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,129
FLT-0010,2025-03-08,TF-08,2.4.2,own_field_installer,"Outdoor unit making grinding noise then shutting down, E12 logged",E12,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,189
FLT-0011,2025-03-09,AS-10,2.4.2,own_field_installer,"No heat output, outdoor unit fan not spinning",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,108
FLT-0012,2025-03-10,TF-12,2.4.2,own_field_installer,Buffer tank valve left in service position after commissioning,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,63
FLT-0013,2025-03-10,AS-16,2.3.1,partner_SHK,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,hardware_fault,false,true,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",false,93
FLT-0014,2025-03-11,TF-08,2.3.1,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,65
FLT-0015,2025-03-12,TF-12,2.4.2,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,35
FLT-0016,2025-03-13,TF-08,2.3.1,own_field_installer,Smart meter gateway will not pair with the control unit,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,38
FLT-0017,2025-03-14,TF-12,2.3.1,partner_SHK,"Compressor short-cycling, error code E4 on display",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,173
FLT-0018,2025-03-14,TF-08,2.4.2,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,36
FLT-0019,2025-03-15,TF-12,2.4.0,partner_SHK,"Outdoor unit making grinding noise then shutting down, E7 logged",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,94
FLT-0020,2025-03-16,AS-10,2.4.2,partner_SHK,"Outdoor unit making grinding noise then shutting down, E12 logged",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,167
FLT-0021,2025-03-17,TF-12,2.4.2,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,41
FLT-0022,2025-03-18,TF-08,2.3.1,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,38
FLT-0023,2025-03-19,TF-08,2.3.1,own_field_installer,"Low refrigerant pressure alarm, error code E7",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,161
FLT-0024,2025-03-19,AS-10,2.4.0,own_field_installer,Wi-Fi pairing fails after firmware update to 2.4.0,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,23
FLT-0025,2025-03-20,AS-10,2.4.0,partner_SHK,"No heat output, outdoor unit fan not spinning",E7,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,197
FLT-0026,2025-03-21,AS-10,2.3.1,partner_SHK,Wi-Fi pairing fails after firmware update to 2.3.1,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,34
FLT-0027,2025-03-22,AS-16,2.4.0,partner_SHK,Buffer tank valve left in service position after commissioning,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,33
FLT-0028,2025-03-23,TF-12,2.4.2,partner_SHK,"Outdoor unit making grinding noise then shutting down, E7 logged",E7,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,151
FLT-0029,2025-03-23,TF-08,2.4.2,partner_SHK,Smart meter gateway will not pair with the control unit,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",false,37
FLT-0030,2025-03-24,TF-12,2.4.0,partner_SHK,Flow/return sensors reversed during install,E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,74
FLT-0031,2025-03-25,TF-12,2.4.0,partner_SHK,"Heating circuit pressure too low after commissioning, E2 on display",E2,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,70
FLT-0032,2025-03-26,AS-10,2.4.2,partner_SHK,Smart meter gateway will not pair with the control unit,CONN-01,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,83
FLT-0033,2025-03-27,AS-16,2.4.2,partner_SHK,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,32
FLT-0034,2025-03-28,AS-16,2.4.2,own_field_installer,Smart meter gateway will not pair with the control unit,,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,21
FLT-0035,2025-03-28,TF-08,2.4.0,partner_SHK,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,162
FLT-0036,2025-03-29,AS-10,2.4.2,partner_SHK,"Unit trips on startup, wiring terminal check shows a loose connection",,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,52
FLT-0037,2025-03-30,AS-10,2.4.0,own_field_installer,"No heat output, outdoor unit fan not spinning",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,173
FLT-0038,2025-03-31,TF-08,2.4.0,own_field_installer,"Outdoor unit making grinding noise then shutting down, E4 logged",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,121
FLT-0039,2025-04-01,AS-10,2.4.2,own_field_installer,"Outdoor unit making grinding noise then shutting down, E4 logged",E4,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,97
FLT-0040,2025-04-01,AS-16,2.4.2,own_field_installer,"App shows unit offline, unit itself is heating normally",CONN-01,connectivity_issue,hardware_fault,false,true,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",false,65
FLT-0041,2025-04-02,TF-08,2.4.0,partner_SHK,"No heat output, outdoor unit fan not spinning",E7,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,157
FLT-0042,2025-04-03,AS-10,2.3.1,own_field_installer,Flow/return sensors reversed during install,,installer_error,installer_error,true,false,"Correct commissioning step per install checklist (wiring, pressure fill, sensor orientation, or valve position); no manufacturer escalation needed.",true,69
FLT-0043,2025-04-04,AS-10,2.4.0,own_field_installer,"No heat output, outdoor unit fan not spinning",E12,hardware_fault,connectivity_issue,false,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,false,148
FLT-0044,2025-04-05,TF-12,2.4.2,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",CONN-01,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,33
FLT-0045,2025-04-06,TF-12,2.3.1,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,26
FLT-0046,2025-04-06,AS-10,2.3.1,partner_SHK,"Low refrigerant pressure alarm, error code E12",E12,hardware_fault,hardware_fault,true,false,Escalate to hardware service technician (compressor/refrigerant circuit inspection). Not resolvable by app/firmware update.,true,143
FLT-0047,2025-04-07,AS-10,2.4.0,own_field_installer,"App shows unit offline, unit itself is heating normally",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,37
FLT-0048,2025-04-08,AS-10,2.4.2,own_field_installer,"Intermittent 'lost connection' notifications, no fault at the unit",,connectivity_issue,connectivity_issue,true,false,"Re-pair the control unit via the installer app, confirm router 2.4GHz band is enabled, and check smart-meter-gateway certificate status. No hardware visit required.",true,34
